VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
80,small,low,80,Low Density,4.415625,3.7730407371262005,1.589625,1.5122973032908291,0.176625,-0.03177394414204941,0.26940778514740604
80,small,low,80,Medium Density,8.83125,8.549355825484195,3.17925,3.1038068523381477,0.35325,0.7627858425929008,0.26940778514740604
80,small,low,80,High Density,17.6625,17.33288718984515,6.3585,6.043578058049654,0.7065,0.03261968380772347,0.26940778514740604
80,small,normal,80,Low Density,35.325,37.03776580242463,12.717,13.551682569406069,1.413,1.8780653323636152,-0.2846302444966461
80,small,normal,80,Medium Density,70.65,70.00036251634157,25.434,26.35032903872787,2.826,2.736696629365502,-0.2846302444966461
80,small,normal,80,High Density,141.3,139.43977157849508,50.868,49.98375882388223,5.652,5.79002473341767,-0.2846302444966461
80,medium,low,80,Low Density,4.415625,5.141971078310817,1.589625,2.4706358160835222,0.176625,-0.03267967581379373,0.3333482677610198
80,medium,low,80,Medium Density,8.83125,9.90649647582071,3.17925,3.124506924888992,0.35325,0.7784927054703957,0.3333482677610198
80,medium,low,80,High Density,17.6625,18.25078165350612,6.3585,6.772843048192661,0.7065,1.0527936769318487,0.3333482677610198
80,medium,normal,80,Low Density,35.325,37.628364207439795,12.717,13.531517317553378,1.413,2.200794340659563,-0.40165404878232486
80,medium,normal,80,Medium Density,70.65,71.11385348303487,25.434,26.319035069789546,2.826,2.9206848902715565,-0.40165404878232486
80,medium,normal,80,High Density,141.3,141.1916326050135,50.868,51.77190771128295,5.652,5.23844025268766,-0.40165404878232486
80,large,low,80,Low Density,4.415625,6.32231431762819,1.589625,0.9082947000656397,0.176625,-0.030903521627641026,0.6081608878453539
80,large,low,80,Medium Density,8.83125,9.851353212204913,3.17925,2.7541637294373054,0.35325,0.4273397962143577,0.6081608878453539
80,large,low,80,High Density,17.6625,19.286504684924996,6.3585,5.287537662914351,0.7065,0.1408801785712717,0.6081608878453539
80,large,normal,80,Low Density,35.325,35.90060031224885,12.717,13.088398878616193,1.413,1.7592589757438941,0.890153774973541
80,large,normal,80,Medium Density,70.65,71.01313704013937,25.434,26.22429199926559,2.826,3.6227832782888245,0.890153774973541
